米原,35.314188,136.290488
彦根,35.272206,136.263356
南彦根,35.246145,136.247947
河瀬,35.22519,136.225038
稲枝,35.203229,136.194417
能登川,35.179911,136.165895
安土,35.142646,136.133431
近江八幡,35.122876,136.102753
篠原,35.09925,136.071293
野洲,35.068551,136.022704
守山,35.050419,135.995676
栗東,35.037376,135.979947
草津,35.022349,135.961736
南草津,35.003746,135.947279
瀬田,34.986964,135.925364
石山,34.979937,135.900245
膳所,34.999698,135.880939
大津,35.002972,135.864896
山科,34.992336,135.817083
京都,34.985458,135.757755
大津京,35.024406,135.85734
唐崎,35.049795,135.866869
比叡山坂本,35.070403,135.878259
おごと温泉,35.097278,135.894787
堅田,35.120979,135.915121
小野,35.138885,135.922476
和邇,35.162129,135.922117
蓬莱,35.182324,135.914893
志賀,35.201762,135.924624
比良,35.220071,135.944378
近江舞子,35.235961,135.959205
北小松,35.253715,135.970684
近江高島,35.292657,136.010374
安曇川,35.32842,136.019887
新旭,35.355902,136.035796
近江今津,35.398536,136.032498
近江中庄,35.441648,136.038374
マキノ,35.461437,136.05978
永原,35.498832,136.122251
近江塩津,35.539638,136.151342
西大路,34.98103,135.732344
桂川,34.964506,135.710373
向日町,34.954938,135.709501
長岡京,34.923516,135.700696
山崎,34.892199,135.679879
島本,34.880647,135.662778
高槻,34.851716,135.61768
摂津富田,34.83767,135.593349
茨木,34.815355,135.562247
千里丘,34.791288,135.551345
岸辺,34.776812,135.541621
吹田,34.763177,135.52367
東淀川,34.739938,135.504598
新大阪,34.73348,135.500109
大阪,34.701909,135.494977
河原町,35.003765,135.769463
烏丸,35.003665,135.759108
大宮,35.003356,135.748412
西院,35.003503,135.731888
西京極,34.992379,135.718531
桂,34.979372,135.703274
洛西口,34.964087,135.703091
東向日,34.953227,135.704621
西向日,34.940364,135.702982
長岡天神,34.925349,135.692724
大山崎,34.891513,135.68159
水無瀬,34.877442,135.667536
上牧,34.872001,135.661679
高槻市,34.849878,135.623113
富田,34.835304,135.59311
総持寺,34.826757,135.584306
茨木市,34.816675,135.575768
南茨木,34.80319,135.564825
摂津市,34.786438,135.553712
正雀,34.776059,135.546129
相川,34.757934,135.533856
上新庄,34.751112,135.533184
淡路,34.738841,135.516494
崇禅寺,34.731322,135.510511
南方,34.725717,135.499121
十三,34.71989,135.482792
梅田,34.705517,135.498312
六地蔵,34.932778,135.797334
石田,34.940569,135.803995
醍醐,34.95086,135.81063
小野,34.961218,135.812733
椥辻,34.972717,135.814888
東野,34.982207,135.816763
山科,34.992336,135.817083
御陵,34.996158,135.801637
蹴上,35.008037,135.790227
東山,35.009431,135.779717
三条京阪,35.009278,135.773773
京都市役所前,35.011003,135.768829
烏丸御池,35.010517,135.759638
二条城前,35.011892,135.750473
二条,35.010967,135.741701
西大路御池,35.010933,135.730466
